Coded,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
p239,0.0460056110132446,0.0483755464213479,0.4400078293208063,-0.5839660729431722,0.0354929209891041,0.0065589286879363,0.0295944854113655,0.0047597436589025,0.0164173288967182,0.0392449468258628,9.32968376068376,16501.94154107131,0.2934037972205911
p240,0.0492035346950601,0.0506127486237867,0.3883818629581341,-0.520320422280168,0.0429885557004201,0.0067921483413008,0.0190127641424018,0.0026079525997754,0.0129419853686802,0.0384710705490366,9.308477582210632,17506.281996957845,0.302169346660872
p242,0.0504530221574637,0.0486239561875094,0.4135306235240918,-0.5685908405767974,0.035446917550118,0.0061540270311008,0.0295463520298447,0.0015473012008239,0.0124901321408832,0.043732387077325,9.165987539566899,18281.10905391147,0.2943526101592724
p246,0.042857198650253,0.0483001829344497,0.417624820346185,-0.6099997188027245,0.0475067174904705,0.0053057395488345,0.0160923880991064,0.0018692665223708,0.0125784587264887,0.0324777947884771,9.2740342592014,16823.180138099106,0.2999437605448978
p249,0.042290221791938,0.0644903626122161,0.4355747227600774,-0.3340374493927125,0.0502552367540925,0.0051983717655342,0.0087351761027988,0.001035014743443,0.0157417268086604,0.0429777151909875,9.937658906882591,18111.31275303644,0.3048759021299067
p251,0.054031910397295,0.0475950972104818,0.4592138630600168,-0.6037136517328824,0.0314877430262045,0.0065603550295857,0.0281446597633136,0.000671899556213,0.0115734784446322,0.0453791208791208,8.637173922231614,20317.93068469992,0.2954353338968723
p252,0.0434638858356465,0.0419578650818786,0.3730834435605566,-0.6847163403319858,0.0511205916873148,0.0051753451198837,0.0369838146505952,0.0016089662918941,0.0138710173817463,0.0397712632971291,8.886767740372969,21746.3704379902,0.2823369413342772
p253,0.0440056414129676,0.047467167383221,0.3662270508947246,-0.6338765105740181,0.0536834766442017,0.0043498140831977,0.0234785724819893,0.004280088950732,0.0138099610736695,0.0410001801069021,9.253932314664187,17152.592696955613,0.3021148036253776
p255,0.0434898073424453,0.0350592167747352,0.4105518496058216,-0.9523307832252648,0.0427765079068899,0.0040461165274991,0.0460275050146942,0.0079203162569389,0.0122004991370061,0.0358200494472174,8.783889816672108,15831.438167654056,0.2962168213835891
p257,0.048164704223366,0.0450566100260875,0.3992103222167383,-0.5999181414369315,0.054783896213777,0.0044691814143693,0.0344216714376366,0.0014810421356553,0.01247905238666,0.0442616371712613,8.886679545935273,17495.088486215893,0.2989494465204822
p259,0.0494151555640389,0.0498650143157091,0.4117675128841382,-0.5313846153846153,0.0476235922886046,0.0066298005344531,0.0200806956957434,0.0083477416129032,0.0143313895781637,0.0382226283641916,9.334585607940449,15589.588089330024,0.3012025195648024
p261,0.0441256790123456,0.0486086134852801,0.4657169990503323,-0.5521563152896485,0.0371320037986704,0.0052694966761633,0.0198913620322886,0.0086285850037986,0.0124384140550807,0.0337661158594491,9.568492592592593,16840.678157644823,0.3022792022792022
p262,0.0431251847145952,0.0392944755846032,0.4118461016300138,-0.7429208142236765,0.0531038143890276,0.0041696528496958,0.0354628079023035,0.0041683748909117,0.0127479074381891,0.0329631447431401,9.015610859216585,16779.725160347065,0.2933502745698695
p263,0.0452332439678284,0.0478071767374716,0.4227675809445246,-0.5387248917302536,0.0422767580944524,0.0048882037533512,0.0340821323984326,0.0005451754361724,0.0134352443802845,0.0382715611466281,8.892733553309961,20737.501340482573,0.3010930088678078
p264,0.052902208497099,0.054982623058207,0.4024892382556616,-0.5094861501029384,0.0415496911847276,0.0072345873104997,0.0239856513194834,0.0012974164551749,0.0138425977915029,0.0485938892008235,9.273317518248176,18378.447127082163,0.2973984652816769
p265,0.0462380361134697,0.0475476023186095,0.4485244424419914,-0.5864766319510631,0.0316252794288387,0.0054359245845391,0.0160327474568076,0.0094416904545375,0.0140552870535636,0.030952734503613,9.218998345088115,15311.150189751675,0.3035333668359124
p266,0.0450694109597626,0.0453139718589395,0.4050108636610537,-0.6632102901851,0.0445984623741277,0.0067572953662307,0.0227189508479923,0.013493688370033,0.0140285881418961,0.0318079602431788,9.268275503488905,17515.410150211006,0.3016232816613044
p268,0.0470519334587292,0.0442659154310281,0.3930307545741016,-0.6275602266897916,0.053606761609302,0.0056052409800425,0.0351283512458167,0.0023761213123824,0.0127595390478051,0.0377381745120551,9.006221242396855,18307.23660747001,0.2961501819869555
p270,0.057067109588567,0.0471853967265303,0.3928232810823903,-0.5401629052908405,0.0346586387072217,0.0159978289906225,0.0167858156725146,0.0008228429587182,0.0145375403993217,0.0351537907886086,9.305312010796222,15525.327921381362,0.304501885878404
p271,0.0481604211830288,0.044384677323296,0.4049598589703885,-0.5887849298425328,0.0592943754913404,0.0042292707911475,0.0285909340233937,0.0021734706679848,0.0121903137432403,0.0395263811134669,8.907723539080925,16742.234866712723,0.3041189222669556
p272,0.0458373806134868,0.050412173195536,0.4202198980960042,-0.590516657383914,0.0449491511438414,0.0060284897992862,0.0196607226486787,0.0141534923945376,0.0142113022670544,0.035286556923902,9.499634424572477,19250.130763042267,0.3084968129215917
p274,0.0472759790840801,0.0430735847048479,0.4193364285604109,-0.6365922938100599,0.0471687927071925,0.0052483287316253,0.0352518492696395,0.0013411789717881,0.0122012308926285,0.0387502151748391,8.95029425737687,17345.98463697922,0.2947509679011584
p276,0.0515192016757826,0.0491867799371581,0.425520772721983,-0.5632538112417083,0.0257186081694402,0.0057147387408355,0.022196508023973,0.0053005304934248,0.0125155999069009,0.042249714884208,9.374467473524962,18234.928662865124,0.2981496566973117
p277,0.0511085303801257,0.0530042502244836,0.3800658485483388,-0.4837627656390302,0.0446572882370547,0.007884441783897,0.0237296160263394,0.0075129781783897,0.0138222807542651,0.0414944806944028,9.295796288536366,15770.613588745884,0.3027835977252319
p279,0.0444855857389527,0.04560129331939,0.3810890342663975,-0.6265644592524137,0.0566891218171648,0.00564514701233,0.026874320296943,0.0112085141596342,0.0133535397261606,0.0320738806877599,9.351167440842431,16840.095114180793,0.2994722634305309
p281,0.0534419729206963,0.05617778808957,0.4215146555572087,-0.5000082762981699,0.0419394435351882,0.0073827611218568,0.0235397091764618,0.000458285978091,0.0119752640976045,0.0517983763576848,9.197673467489956,18187.94524624312,0.29930441898527
