Rishabh,Akhiyaan Da Surma (Lokan Ton Chhuppa Ke Rakhin)
Subham Das,Sajde Lofi
Dj Vicky Belgaum,Kya Mujhe Pyaar Hai (LoFi Flip)
Dev Bhawsar,Chidiya (Lo-fi)
Sunidhi Chauhan,Lae Dooba
Joe Kox,Miles Away
Cheat Codes,Payback (feat. Icona Pop)
Ozlig,Hold You Tight
Tevvez,Legend
Rita Ora,Big (feat. Gunna)
Fabian Mazur,The Pit
Hopex,Into the Clouds
James Stikå,Leaving The Lights (feat. Veela)
KLOUD,SYNTHESIZE
Ashu Shukla,Phir Se Shuru
Javed-Mohsin,Kabhii Tumhhe
Palak Muchhal,Kaun Tujhe
Nucleya,Bhayanak Atma
2Scratch,Too Alive
Sukhwinder Singh,"Kar Har Maidaan Fateh (From ""Sanju"")"
Zayde Wølf,Hustler
Anikdote,Turn It Up
Dino James,Unstoppable
Madonna,Frozen
Nicky Youre,Sunroof
DVRST,Close Eyes
Jeet Gannguli,Khamoshiyan
Kelvyn Colt,Benz | I Know
Chamath Sangeeth,Manike Mage Hithe
Motivational Podcasts,NO EXCUSES - Best Motivational Podcast
Lost Sky,Fearless
B Praak,Mann Bharryaa 2.0
Karan Nawani,Mere Samne Wali
Tiësto,The Motto
OBS,Hide & Seek
Zara Larsson,WOW - Imanbek Remix
MALARKEY,MONEY
Ash King,Baarish
Öwnboss,Move Your Body - Restricted Remix
ACRAZE,Do It To It
Lost Frequencies,Where Are You Now
Skrillex,Purple Lamborghini (with Rick Ross)
Raaban,Bad Boy (feat. Luana Kiara)
Siddharth Mahadevan,Toofaan Title Track
Teriyaki Boyz,"Tokyo Drift (Fast & Furious) - From ""The Fast And The Furious: Tokyo Drift"" Soundtrack"
Uma Mohan,Shiva Tandava Stotram
Example,Changed the Way You Kiss Me - Radio Edit
Lonelysoul.,Missing
Skuuud,Never Been So Long
Theodor Rosenberg,Enemy
NEFFEX,Rumors
PS1,Life Goes On (feat. Alex Hosking)
Robbe,Fix Your Heart
Becky Hill,My Heart Goes (La Di Da) (feat. Topic)
Meet Bros Anjjan,Boss
DMX,Where The Hood At
Unknown Brain,Superhero
Warriyo,Mortals
AK,Top Of The World
Panic! At The Disco,High Hopes
Meghna Mishra,Nachdi Phira
Pranav Chandran,Kya hua Tera Wada
Farhan Saeed,Thodi Der
Dhvani Bhanushali,Vaaste
Fukra Insaan,TUM MERE
Sachet-Parampara,"Maiyya Mainu (From ""Jersey"")"
Ayushmann Khurrana,"Mere Liye Tum Kaafi Ho (From ""Shubh Mangal Zyada Saavdhan"")"
Ami Mishra,"Hasi (From ""Hamari Adhuri Kahani"") - Female Version"
Prashant Nakti,Aapli Yaari (feat. Adarsh Shinde & Sonali Sonawane)
Harshdeep Kaur,Dilbaro
Suraj Jagan,Give Me Some Sunshine
Anthony Keyrouz,Wake Me Up In Paris
Gabry Ponte,Call Me (with R3HAB & Timmy Trumpet)
TBR,Arena
Dubio,Can't Get Over You
Louyah,You
Vwillz,Falling Slowly
Chris Rondo,11:11
[bsd.u],the G.O.D.
mynameisleonidas,periergo
Netherfriends,Weed Queen
Your X Lover,Good Sex
Clayvonne Miller,wake ur vibes
lofi.samurai,love
Mindflip,Fly
Baby Blue,Uhhh.
Kylous,Click Away
NoMBe,Wait 2.0
Feux,Life?
Orion,Ttg
PeeJay,4/20
Walterwarm,Spliff in the Morning
Monster Florence,Deck Of Cards
Myra & Johnny Ola,Vapors
Arjun Kanungo,Ilzaam (From the Album 'Industry')
Falak Shabir,Mera Mann Kehne Laga
Munaf Luhar,Kahaan Jaana Hai
Namita Choudhary,Chaap Tilak
Apoorv Srivastava,Ghar Bana Liya
Sona Mohapatra,Naina
Bharat Chauhan,Ghar
Zariya,Khoya
Nikhil D'Souza,Thode Se Kam
Zeb,Sooha Saaha
Vaibhav Bundhoo,Tere Jaisa
Yanchan,Remember
Jackson And His Computer Band,Arp #1
Lucky Ali,O Sanam
Raghav Meattle,Better Than It All
Finding Hope,3:00 AM
Vincent Boral,Kho Gaye Hum Kahan - Slowed + Reverb
Weekly Motivation by Ben Lionel Scott,NO EXCUSES
Asha Bhosle,O Haseena Zulfonwale Jane Jahan
Mahendra Kapoor,Neele Gagan Ke Tale
Kishore Kumar,Saagar Jaisi Aankhonwali - Saagar / Soundtrack Version
Gerry Rafferty,Baker Street
Rauw Alejandro,Nubes
SYM,ARCADE x SAJNA
Abdullah Qureshi,Dastaan
AMAN,Akela Hoon
scsc,Memoir
